Instance: Direction_Num_16_ID_7_R_6
Steiner-visit: False
Benders Cut: Mileage
Formulation: DFJ
OFV: 459.7049886695004
Runtime: 405.39999985694885
Gap: 0
Path: 
50.0 50.0
46.8356 75.704
28.287 59.7546
30.1575 67.4031
13.67 47.0003
46.4004 5.957
54.0582 9.2183
54.0582 9.2183
76.6698 26.5616
73.2902 19.8796
89.6206 35.6684
98.3892 44.1449
115.7812 60.9605
111.8008 65.133
94.6443 59.0343
93.8246 59.5111
87.4494 56.7805
91.0854 61.3516
108.4805 83.2237
108.4655 86.1284
95.6183 81.719
76.2474 84.9107
88.15 96.9329
86.9106 93.0044
96.9076 100.4886
95.445 98.6817
75.3657 73.876
74.6865 73.0369
66.4977 62.9206
63.9936 59.8269
49.8951 44.5873
49.2046 44.775
52.0582 51.2552
50.0 50.0
