Instance: Uniform_Num_16_ID_1_R_6
Steiner-visit: True
Benders Cut: Boundary
Formulation: DFJ
OFV: 460.5743077216813
Runtime: 346.53200006484985
Gap: 0
Path: 
50.0 50.0
58.2325 45.5877
35.9252 48.101
20.3164 49.8607
10.3686 39.2184
0.179 28.3151
-11.2865 16.0463
12.1786 17.5802
15.393 24.0668
17.2313 27.7846
31.1381 26.9039
36.7335 21.379
52.1806 6.127
46.401 2.0589
41.2289 -9.0416
59.8705 -5.2191
72.8687 -12.4891
94.8014 11.7367
110.091 29.8874
89.296 49.2486
79.5932 55.3898
81.1914 78.3586
79.4801 93.3869
77.7959 108.1775
63.8352 98.6951
62.721 97.938
60.0006 89.67
56.672 79.5501
54.7792 76.912
53.5682 75.224
43.4416 78.4417
40.3251 77.2884
44.1428 66.5226
50.0 50.0
