Instance: Uniform_Num_16_ID_11_R_6
Steiner-visit: True
Benders Cut: Mileage
Formulation: DFJ
OFV: 629.1935822886244
Runtime: 3600.5350000858307
Gap: 0.28490335752980195
Path: 
50.0 50.0
34.4298 49.4351
48.7835 27.1808
83.8287 -24.491
91.5934 6.2991
79.4969 36.4759
86.6009 70.5493
89.9346 86.5357
100.6639 60.4936
103.7219 62.9666
89.8845 47.809
84.2679 47.7639
67.3467 47.6242
67.673 47.7416
81.3302 52.661
81.4827 61.5666
68.1802 83.2324
68.4529 80.7209
70.7068 59.9218
62.7816 52.9415
44.7218 37.0378
33.3489 27.7694
14.8241 12.6767
17.0245 18.1075
24.5552 36.7087
13.412 42.5724
-12.6562 56.291
-19.2298 41.1229
7.2014 44.1385
13.8514 60.5269
19.4618 74.3544
34.3062 56.7517
43.179 46.2303
50.0 50.0
