Instance: Uniform_Num_12_ID_11_R_4
Steiner-visit: True
Benders Cut: Mileage
Formulation: DFJ
OFV: 497.09192671007366
Runtime: 1.2820000648498535
Gap: 0
Path: 
50.0 50.0
38.2711 61.8407
26.977 68.7201
28.2519 83.8061
47.8337 97.3716
61.8082 107.053
86.4038 96.8947
71.536 97.1732
94.8197 82.1228
85.1163 82.2293
69.2942 72.7358
62.3856 77.7987
55.1041 83.1349
48.3015 88.12
19.6202 90.7811
17.3112 90.0713
19.177 64.3884
19.8463 55.2013
20.4681 46.6664
34.4824 20.8848
42.658 5.8479
114.6011 14.7409
97.8388 39.6846
88.4064 53.7247
72.3541 38.5598
50.0 50.0
