Instance: Uniform_Num_20_ID_18_R_6
Steiner-visit: True
Benders Cut: Mileage
Formulation: DFJ
OFV: 538.9521950883484
Runtime: 3600.1279997825623
Gap: 0.2078708733939251
Path: 
50.0 50.0
33.9606 44.3764
13.6413 37.2554
6.3188 43.3334
6.651 50.4038
3.0411 54.6639
-19.1301 60.4847
-4.8348 99.3411
9.3085 96.868
19.7385 95.045
20.7809 82.3969
21.6383 71.9578
33.7132 80.2224
40.0658 84.5736
62.9795 78.8004
68.5795 83.1757
79.6627 91.8307
92.0323 101.4877
95.977 91.9815
96.5015 90.7194
90.5782 85.1191
89.4543 85.951
90.9433 78.2566
92.0511 72.5345
93.7393 63.807
98.2502 65.0812
81.9551 40.9168
79.8194 38.36
65.6775 21.4473
64.086 19.5416
52.7815 20.4258
48.7144 20.7473
69.6277 9.1335
86.8884 0.7469
91.211 -8.6854
64.8927 4.6214
58.0512 14.427
55.9379 12.372
30.4783 26.0436
30.8303 39.5222
41.9846 45.6208
50.0 50.0
