Instance: Uniform_Num_12_ID_8_R_2
Steiner-visit: True
Benders Cut: Mileage
Formulation: DFJ
OFV: 520.7136299998289
Runtime: 0.13400006294250488
Gap: 0
Path: 
50.0 50.0
53.1359 63.618
21.8146 79.7198
14.1726 79.8381
-1.0246 80.0784
8.0349 34.2626
20.5318 13.6424
56.1615 13.6483
77.5702 28.5225
97.4337 24.6256
109.4832 41.7754
79.7453 36.4931
70.8385 55.7935
68.8939 49.8424
74.9997 57.2088
88.6815 73.7202
88.4 75.5256
79.6897 72.5066
94.7327 95.2134
86.5277 92.9286
89.5633 127.6436
56.1015 105.7219
49.953 76.5172
48.0155 69.0391
43.0027 49.6706
50.0 50.0
