Instance: Uniform_Num_16_ID_4_R_6
Steiner-visit: True
Benders Cut: Default
Formulation: DFJ
OFV: 520.7695981442924
Runtime: 3600.991000175476
Gap: 0.2936597071856073
Path: 
50.0 50.0
50.4906 55.8083
78.9314 61.4205
84.4401 62.5075
72.1957 64.7869
69.3355 65.3197
37.7437 69.8417
49.5793 82.1461
62.531 89.6247
75.5691 97.153
86.8936 103.6921
88.2542 84.2719
81.8526 69.3593
81.9078 68.4924
82.536 58.6298
82.86 53.5427
92.9297 50.146
100.616 53.9754
89.7994 70.8387
84.2586 71.512
66.3779 73.685
66.3779 73.685
63.3057 53.4092
62.4441 39.8948
61.5967 5.6129
63.5863 4.1956
70.2769 22.8313
77.3703 5.4215
75.0525 -16.9667
36.5686 -3.0292
11.0956 6.196
18.1323 14.1188
31.0469 28.6599
50.0 50.0
