Instance: Uniform_Num_20_ID_18_R_6
Steiner-visit: True
Benders Cut: Default
Formulation: DFJ
OFV: 540.2789857043836
Runtime: 3600.410999774933
Gap: 0.21625467506734442
Path: 
50.0 50.0
34.3591 44.5155
13.649 37.254
6.2897 43.3982
6.4969 53.7455
6.4969 53.7455
-19.1295 60.4835
-4.8348 99.3411
8.7794 96.9606
19.7389 95.0445
20.7543 82.7188
21.6384 71.9577
34.3098 80.6328
40.0653 84.5735
62.9802 78.8005
68.2646 82.9275
79.3659 91.5963
92.0334 101.4875
95.9518 92.0443
96.5016 90.7199
90.5807 85.1192
89.4567 85.9525
90.8954 78.5095
92.0547 72.5139
93.7375 63.8081
98.2493 65.0823
81.9542 40.9155
78.5087 36.7934
66.9546 22.9751
64.0843 19.5409
52.3206 20.4644
48.7146 20.7481
69.6285 9.1331
86.8892 0.7461
91.2102 -8.6861
64.893 4.6212
58.0504 14.4271
55.937 12.3719
30.4788 26.0427
30.8308 39.523
42.2606 45.7707
50.0 50.0
